Episode 0 | Reward -19.0 | Avg5 -19.0
Episode 1 | Reward -21.0 | Avg5 -20.0
Episode 2 | Reward -21.0 | Avg5 -20.333333333333332
Episode 3 | Reward -21.0 | Avg5 -20.5
Episode 4 | Reward -21.0 | Avg5 -20.6
Episode 5 | Reward -21.0 | Avg5 -21.0
Episode 6 | Reward -21.0 | Avg5 -21.0
Episode 7 | Reward -20.0 | Avg5 -20.8
Episode 8 | Reward -21.0 | Avg5 -20.8
Episode 9 | Reward -21.0 | Avg5 -20.8
Episode 10 | Reward -20.0 | Avg5 -20.6
Episode 11 | Reward -20.0 | Avg5 -20.4
Episode 12 | Reward -21.0 | Avg5 -20.6
Episode 13 | Reward -20.0 | Avg5 -20.4
Episode 14 | Reward -21.0 | Avg5 -20.4
Episode 15 | Reward -21.0 | Avg5 -20.6
Episode 16 | Reward -21.0 | Avg5 -20.8
Episode 17 | Reward -21.0 | Avg5 -20.8
Episode 18 | Reward -21.0 | Avg5 -21.0
Episode 19 | Reward -20.0 | Avg5 -20.8
Episode 20 | Reward -20.0 | Avg5 -20.6
Episode 21 | Reward -21.0 | Avg5 -20.6
Episode 22 | Reward -21.0 | Avg5 -20.6
Episode 23 | Reward -21.0 | Avg5 -20.6
Episode 24 | Reward -21.0 | Avg5 -20.8
Episode 25 | Reward -21.0 | Avg5 -21.0
Episode 26 | Reward -20.0 | Avg5 -20.8
Episode 27 | Reward -21.0 | Avg5 -20.8
Episode 28 | Reward -21.0 | Avg5 -20.8
Episode 29 | Reward -21.0 | Avg5 -20.8
Episode 30 | Reward -21.0 | Avg5 -20.8
Episode 31 | Reward -21.0 | Avg5 -21.0
Episode 32 | Reward -21.0 | Avg5 -21.0
Episode 33 | Reward -19.0 | Avg5 -20.6
Episode 34 | Reward -21.0 | Avg5 -20.6
Episode 35 | Reward -20.0 | Avg5 -20.4
Episode 36 | Reward -20.0 | Avg5 -20.2
Episode 37 | Reward -21.0 | Avg5 -20.2
Episode 38 | Reward -21.0 | Avg5 -20.6
Episode 39 | Reward -20.0 | Avg5 -20.4
Episode 40 | Reward -21.0 | Avg5 -20.6
Episode 41 | Reward -20.0 | Avg5 -20.6
Episode 42 | Reward -18.0 | Avg5 -20.0
Episode 43 | Reward -20.0 | Avg5 -19.8
Episode 44 | Reward -21.0 | Avg5 -20.0
Episode 45 | Reward -20.0 | Avg5 -19.8
